  9.215803 seconds (163.47 k allocations: 7.212 MB)
  7.337052 seconds (2.73 k allocations: 225.703 KB)
  7.307033 seconds (2.73 k allocations: 226.016 KB)
  7.342253 seconds (2.73 k allocations: 225.828 KB)
  7.353754 seconds (2.73 k allocations: 226.203 KB)
  7.391179 seconds (2.76 k allocations: 226.703 KB)
  7.376038 seconds (2.73 k allocations: 226.203 KB)
  7.420987 seconds (2.72 k allocations: 225.391 KB)
  7.374919 seconds (2.73 k allocations: 226.141 KB)
  7.408133 seconds (2.74 k allocations: 225.953 KB)
  7.438932 seconds (2.73 k allocations: 225.953 KB)
  7.402917 seconds (2.73 k allocations: 225.641 KB)
  7.492632 seconds (2.73 k allocations: 226.141 KB)
  7.372502 seconds (2.73 k allocations: 225.828 KB)
  7.440446 seconds (2.73 k allocations: 226.203 KB)
  7.438689 seconds (2.73 k allocations: 225.766 KB)
  7.412797 seconds (2.73 k allocations: 226.078 KB)
  7.468692 seconds (2.72 k allocations: 225.391 KB)
  7.503637 seconds (2.73 k allocations: 226.203 KB)
  7.420144 seconds (2.72 k allocations: 225.391 KB)
  7.493573 seconds (2.73 k allocations: 226.078 KB)
  7.514144 seconds (2.73 k allocations: 225.641 KB)
  7.480096 seconds (2.73 k allocations: 226.016 KB)
  7.483844 seconds (2.73 k allocations: 225.828 KB)
  7.531599 seconds (2.73 k allocations: 226.078 KB)
  7.594518 seconds (2.72 k allocations: 225.578 KB)
  7.621438 seconds (2.73 k allocations: 226.141 KB)
  7.558085 seconds (2.72 k allocations: 225.578 KB)
  7.495153 seconds (2.73 k allocations: 226.078 KB)
  7.479776 seconds (2.72 k allocations: 225.453 KB)
  7.433485 seconds (2.73 k allocations: 225.953 KB)
  7.540398 seconds (2.73 k allocations: 225.641 KB)
  7.588528 seconds (2.73 k allocations: 226.078 KB)
  7.674980 seconds (2.73 k allocations: 225.828 KB)
  7.637531 seconds (2.75 k allocations: 226.578 KB)
  7.647013 seconds (2.72 k allocations: 225.516 KB)
  7.596917 seconds (2.74 k allocations: 226.391 KB)
  7.652442 seconds (2.74 k allocations: 225.891 KB)
  7.685872 seconds (2.75 k allocations: 226.328 KB)
  7.796746 seconds (2.78 k allocations: 227.078 KB)
  7.776960 seconds (2.75 k allocations: 226.391 KB)
  7.716609 seconds (2.75 k allocations: 225.891 KB)
  7.660750 seconds (2.76 k allocations: 226.703 KB)
  7.703845 seconds (2.75 k allocations: 226.141 KB)
  7.741967 seconds (2.75 k allocations: 226.453 KB)
  7.721238 seconds (2.76 k allocations: 226.266 KB)
  7.600912 seconds (2.75 k allocations: 226.328 KB)
  7.631152 seconds (2.76 k allocations: 226.328 KB)
  7.680417 seconds (2.76 k allocations: 226.516 KB)
  7.677810 seconds (2.75 k allocations: 226.078 KB)
  7.701678 seconds (2.75 k allocations: 226.328 KB)
  7.674781 seconds (2.76 k allocations: 226.328 KB)
  7.621358 seconds (2.75 k allocations: 226.453 KB)
  7.669542 seconds (2.76 k allocations: 226.203 KB)
  7.664824 seconds (2.76 k allocations: 226.516 KB)
  7.674804 seconds (2.76 k allocations: 226.266 KB)
  7.666386 seconds (2.75 k allocations: 226.328 KB)
  7.761390 seconds (2.75 k allocations: 226.078 KB)
  7.620972 seconds (2.76 k allocations: 226.578 KB)
  7.679660 seconds (2.75 k allocations: 226.078 KB)
  7.657449 seconds (2.76 k allocations: 226.766 KB)
  7.633079 seconds (2.75 k allocations: 226.016 KB)
  7.569788 seconds (2.76 k allocations: 226.578 KB)
  7.596155 seconds (2.76 k allocations: 226.328 KB)
  7.584193 seconds (2.76 k allocations: 226.578 KB)
  7.654496 seconds (2.75 k allocations: 226.078 KB)
  7.679314 seconds (2.76 k allocations: 226.516 KB)
  7.591236 seconds (2.76 k allocations: 226.328 KB)
  7.598005 seconds (2.76 k allocations: 226.703 KB)
  7.629406 seconds (2.75 k allocations: 226.078 KB)
  7.590184 seconds (2.76 k allocations: 226.422 KB)
  7.625053 seconds (2.75 k allocations: 225.953 KB)
  7.606635 seconds (2.78 k allocations: 227.328 KB)
  7.611612 seconds (2.74 k allocations: 225.828 KB)
